Channel,Delta,Theta,Alpha,Beta,Hi-Beta
EEG Fz-LE,1.8608386502492426e-10,6.102609009719725e-11,2.455137394622525e-11,5.8836225204783535e-12,5.763918995702429e-12
EEG Cz-LE,1.8749713616871292e-10,9.01323327208755e-11,4.888233737123632e-11,6.311874930602219e-12,6.418971209721534e-12
EEG T3-LE,1.1597598728126734e-10,3.247732194116525e-11,1.8394454824376244e-11,4.834251378164488e-12,6.8030867306292e-12
EEG T4-LE,8.491412773943531e-11,2.640113928066959e-11,1.5520454833228656e-11,4.5924423627661126e-12,1.1432245988525986e-11
EEG F3-LE,1.7865994637543755e-10,7.016511966678852e-11,2.5923892742543632e-11,5.958258652728518e-12,5.756431738825438e-12
EEG F4-LE,1.5353578801971264e-10,6.270363195487235e-11,2.391873631609354e-11,5.551317780443218e-12,6.548770551630728e-12
EEG O1-LE,1.3077165100614368e-10,6.199415329481662e-11,5.7869980303160077e-11,8.841902760834186e-12,1.2147806166102056e-11
EEG O2-LE,1.333907878748063e-10,6.24229161312184e-11,6.027905552967027e-11,9.008918875890357e-12,1.3291774301482124e-11
EEG C3-LE,1.2954940501075365e-10,6.551226130782758e-11,3.225794618329599e-11,5.26597676776803e-12,4.7030296026895654e-12
EEG C4-LE,1.1635311542347651e-10,4.923140046262686e-11,2.631277514959462e-11,5.1633575542495185e-12,6.759222053185113e-12
EEG F7-LE,1.399407437940826e-10,4.793106365194055e-11,1.7377352011427286e-11,5.247416949058828e-12,5.970078748226e-12
EEG F8-LE,1.3639004824592848e-10,3.716106695932924e-11,1.3985220757325216e-11,5.260110232166418e-12,6.634324014972252e-12
EEG P3-LE,1.2571289253685626e-10,7.482181496984333e-11,4.4751726022107e-11,6.714671227247675e-12,5.930605681417777e-12
EEG P4-LE,1.227408263692743e-10,5.62914948609117e-11,6.318517190200598e-11,5.960220427177923e-12,5.592452234307927e-12
EEG T5-LE,1.0155648863432118e-10,5.815619259657405e-11,3.138245426700369e-11,5.358136946955911e-12,6.364205573864476e-12
EEG T6-LE,1.2602561231292755e-10,6.323508101718949e-11,8.809394523622166e-11,7.218590388602318e-12,7.402181588766809e-12
EEG Fp1-LE,1.5615761433207658e-10,5.6740592076328565e-11,1.8480121574096538e-11,5.328197876426328e-12,5.764763358053203e-12
EEG Fp2-LE,1.5058096905425513e-10,5.426717295288872e-11,1.782906582764704e-11,5.184846449538901e-12,5.87017798289399e-12
EEG Pz-LE,1.4573604964284237e-10,1.0083215507834001e-10,6.95411590828246e-11,7.396668059765301e-12,5.712634344411847e-12
